,Ghausi_Electricity_Demand_kBtu
2014-05-30 07:00:00,464.185333
2014-05-30 08:00:00,467.993683
2014-05-30 09:00:00,454.278259
2014-05-30 10:00:00,457.543182
2014-05-30 11:00:00,438.1209
2014-05-30 12:00:00,460.168427
2014-05-30 13:00:00,481.837646
2014-05-30 14:00:00,511.604736
2014-05-30 15:00:00,495.840637
2014-05-30 16:00:00,528.1429
2014-05-30 17:00:00,545.066956
2014-05-30 18:00:00,660.3547
2014-05-30 19:00:00,563.8846
2014-05-30 20:00:00,558.53
2014-05-30 21:00:00,595.255
2014-05-30 22:00:00,594.355042
2014-05-30 23:00:00,568.45166
2014-05-31 00:00:00,554.415344
2014-05-31 01:00:00,551.157837
2014-05-31 02:00:00,544.548157
2014-05-31 03:00:00,534.140259
2014-05-31 04:00:00,515.2027
2014-05-31 05:00:00,434.476532
2014-05-31 06:00:00,439.829132
2014-05-31 07:00:00,472.9727
2014-05-31 08:00:00,473.906
2014-05-31 09:00:00,439.6777
2014-05-31 10:00:00,440.7937
2014-05-31 11:00:00,459.542053
2014-05-31 12:00:00,468.717682
2014-05-31 13:00:00,453.177368
2014-05-31 14:00:00,437.896667
2014-05-31 15:00:00,437.665344
2014-05-31 16:00:00,473.602478
2014-05-31 17:00:00,497.152374
2014-05-31 18:00:00,501.981628
2014-05-31 19:00:00,507.208862
2014-05-31 20:00:00,508.582581
2014-05-31 21:00:00,488.275818
2014-05-31 22:00:00,515.5794
2014-05-31 23:00:00,484.738434
2014-06-01 00:00:00,512.936768
2014-06-01 01:00:00,456.668671
2014-06-01 02:00:00,455.063232
2014-06-01 03:00:00,453.7317
2014-06-01 04:00:00,446.7097
2014-06-01 05:00:00,427.8378
2014-06-01 06:00:00,479.771973
2014-06-01 07:00:00,459.9308
2014-06-01 08:00:00,468.309052
2014-06-01 09:00:00,442.1126
2014-06-01 10:00:00,429.62973
2014-06-01 11:00:00,462.183167
2014-06-01 12:00:00,448.105164
2014-06-01 13:00:00,420.5245
2014-06-01 14:00:00,417.406982
2014-06-01 15:00:00,417.0146
2014-06-01 16:00:00,519.448
2014-06-01 17:00:00,482.726166
2014-06-01 18:00:00,520.1379
2014-06-01 19:00:00,524.5402
2014-06-01 20:00:00,534.1699
2014-06-01 21:00:00,547.4762
2014-06-01 22:00:00,528.6302
2014-06-01 23:00:00,532.702148
2014-06-02 00:00:00,526.412231
2014-06-02 01:00:00,423.4514
2014-06-02 02:00:00,465.407684
2014-06-02 03:00:00,474.6293
2014-06-02 04:00:00,424.428772
2014-06-02 05:00:00,469.687225
2014-06-02 06:00:00,437.3794
2014-06-02 07:00:00,430.31488
2014-06-02 08:00:00,438.196136
2014-06-02 09:00:00,422.381226
2014-06-02 10:00:00,467.331238
2014-06-02 11:00:00,406.991638
2014-06-02 12:00:00,446.491425
