,Meyer_ChilledWater_Demand_kBtu
2014-09-23 17:00:00,3646.5542724
2014-09-23 18:00:00,3633.12178286
2014-09-23 19:00:00,3567.91862113
2014-09-23 20:00:00,3599.04032547
2014-09-23 21:00:00,3585.98449638
2014-09-23 22:00:00,3599.0700645
2014-09-23 23:00:00,3630.25210084
2014-09-24 00:00:00,7183.23918165
2014-09-24 01:00:00,7172.02804005
2014-09-24 02:00:00,3574.4128992
2014-09-24 03:00:00,3596.70300395
2014-09-24 04:00:00,3591.11208526
2014-09-24 05:00:00,3591.11208526
2014-09-24 06:00:00,3633.12224908
2014-09-24 07:00:00,3600.0
2014-09-24 08:00:00,3591.11162976
2014-09-24 09:00:00,3585.53852128
2014-09-24 10:00:00,3599.07052202
2014-09-24 11:00:00,3600.93041618
2014-09-24 12:00:00,3607.03352089
2014-09-24 13:00:00,7192.44750576
2014-09-24 14:00:00,3815.17023041
2014-09-24 15:00:00,3815.17023041
2014-09-24 16:00:00,5070.74355905
2014-09-24 17:00:00,5070.74355905
2014-09-24 18:00:00,5070.74355905
2014-09-24 19:00:00,5070.74355905
2014-09-24 20:00:00,5070.74355905
2014-09-24 21:00:00,5070.74355905
2014-09-24 22:00:00,5070.74355905
2014-09-24 23:00:00,5070.74355905
2014-09-25 00:00:00,5070.74355905
2014-09-25 01:00:00,5070.74355905
2014-09-25 02:00:00,5070.74355905
2014-09-25 03:00:00,4049.99725771
2014-09-25 04:00:00,4049.99725771
2014-09-25 05:00:00,4049.99725771
2014-09-25 06:00:00,4049.99725771
2014-09-25 07:00:00,4049.99725771
2014-09-25 08:00:00,4049.99725771
2014-09-25 09:00:00,4049.99725771
2014-09-25 10:00:00,4049.99725771
2014-09-25 11:00:00,4049.99725771
2014-09-25 12:00:00,4049.99725771
2014-09-25 13:00:00,4049.99725771
2014-09-25 14:00:00,3599.98933922
2014-09-25 15:00:00,3599.98933922
2014-09-25 16:00:00,3407.35206331
2014-09-25 17:00:00,4121.71722823
2014-09-25 18:00:00,4121.71722823
2014-09-25 19:00:00,4121.71722823
2014-09-25 20:00:00,4121.71722823
2014-09-25 21:00:00,4121.71722823
2014-09-25 22:00:00,4121.71722823
2014-09-25 23:00:00,4121.71722823
2014-09-26 00:00:00,4121.71722823
2014-09-26 01:00:00,4121.71722823
2014-09-26 02:00:00,4080.01813498
2014-09-26 03:00:00,3697.37557019
2014-09-26 04:00:00,3603.75391032
2014-09-26 05:00:00,3589.70967421
2014-09-26 06:00:00,3598.59063986
2014-09-26 07:00:00,3593.92019726
2014-09-26 08:00:00,3588.78504673
2014-09-26 09:00:00,3601.41046451
2014-09-26 10:00:00,3601.41046451
2014-09-26 11:00:00,3586.43149107
2014-09-26 12:00:00,3598.59018245
2014-09-26 13:00:00,3605.61910856
2014-09-26 14:00:00,3607.51565762
2014-09-26 15:00:00,3603.30258752
2014-09-26 16:00:00,3591.11208526
2014-09-26 17:00:00,2398.12138539
2014-09-26 18:00:00,3605.13701953
2014-09-26 19:00:00,3607.03352089
2014-09-26 20:00:00,3601.41046451
2014-09-26 21:00:00,7164.53589714
2014-09-26 22:00:00,3599.55007455
2014-09-26 23:00:00,3588.78504673
2014-09-27 00:00:00,3588.78504673
2014-09-27 01:00:00,3628.81849404
2014-09-27 02:00:00,3591.11208526
2014-09-27 03:00:00,3592.03745664
2014-09-27 04:00:00,3606.1004079
2014-09-27 05:00:00,2400.21323509
2014-09-27 06:00:00,2402.49587902
2014-09-27 07:00:00,3606.55197246
2014-09-27 08:00:00,3593.44214355
2014-09-27 09:00:00,3590.66437854
2014-09-27 10:00:00,3621.70030467
2014-09-27 11:00:00,2402.2954877
2014-09-27 12:00:00,3601.41046451
2014-09-27 13:00:00,2392.31796227
2014-09-27 14:00:00,3610.31956654
2014-09-27 15:00:00,2399.37353596
2014-09-27 16:00:00,2400.0
2014-09-27 17:00:00,1802.58377401
2014-09-27 18:00:00,3586.90768115
2014-09-27 19:00:00,3594.36871631
2014-09-27 20:00:00,3574.41335048
2014-09-27 21:00:00,3610.83251591
2014-09-27 22:00:00,3609.41466306
2014-09-27 23:00:00,3599.51986995
2014-09-28 00:00:00,3594.36917264
2014-09-28 01:00:00,3621.69984138
2014-09-28 02:00:00,3550.96713083
2014-09-28 03:00:00,3648.92581693
2014-09-28 04:00:00,3602.82203467
2014-09-28 05:00:00,3696.25668449
2014-09-28 06:00:00,3595.32590078
2014-09-28 07:00:00,3598.11088564
2014-09-28 08:00:00,3590.57466844
2014-09-28 09:00:00,3595.80491256
2014-09-28 10:00:00,3584.11005894
2014-09-28 11:00:00,3587.86089545
2014-09-28 12:00:00,2399.37353596
2014-09-28 13:00:00,3599.55007455
2014-09-28 14:00:00,3605.1374786
2014-09-28 15:00:00,1797.07974998
2014-09-28 16:00:00,3607.99792325
2014-09-28 17:00:00,3605.94975841
2014-09-28 18:00:00,3590.66437854
2014-09-28 19:00:00,3588.30835808
2014-09-28 20:00:00,3592.96376103
2014-09-28 21:00:00,3563.79792674
2014-09-28 22:00:00,3597.18238278
2014-09-28 23:00:00,3592.96376103
2014-09-29 00:00:00,3608.48031784
2014-09-29 01:00:00,3590.18673527
2014-09-29 02:00:00,3592.0971597
2014-09-29 03:00:00,3589.73925924
2014-09-29 04:00:00,2401.8681115
2014-09-29 05:00:00,3748.37310195
2014-09-29 06:00:00,3605.16731847
2014-09-29 07:00:00,3592.99339971
2014-09-29 08:00:00,3589.73925924
2014-09-29 09:00:00,2400.62699481
2014-09-29 10:00:00,2398.33448994
2014-09-29 11:00:00,2394.86432539
2014-09-29 12:00:00,3598.59063986
2014-09-29 13:00:00,2394.79808332
2014-09-29 14:00:00,3600.47980027
2014-09-29 15:00:00,3592.9938557
2014-09-29 16:00:00,3600.47980027
2014-09-29 17:00:00,3603.75391032
2014-09-29 18:00:00,7241.51917772
2014-09-29 19:00:00,3599.04032547
2014-09-29 20:00:00,7235.81694054
2014-09-29 21:00:00,3602.3714036
2014-09-29 22:00:00,3600.45003794
2014-09-29 23:00:00,3600.93041618
2014-09-30 00:00:00,4769.76481934
2014-09-30 01:00:00,3600.0
2014-09-30 02:00:00,3588.78504673
2014-09-30 03:00:00,3601.89109908
2014-09-30 04:00:00,3603.30304612
2014-09-30 05:00:00,3594.36917264
2014-09-30 06:00:00,3593.92019726
2014-09-30 07:00:00,3600.48025815
2014-09-30 08:00:00,3592.9938557
2014-09-30 09:00:00,3602.34160999
2014-09-30 10:00:00,2400.0
2014-09-30 11:00:00,3599.55007455
2014-09-30 12:00:00,2401.46757166
2014-09-30 13:00:00,2395.20957273
2014-09-30 14:00:00,2398.96041144
2014-09-30 15:00:00,3594.39883452
2014-09-30 16:00:00,2405.63984983
2014-09-30 17:00:00,3586.46147641
2014-09-30 18:00:00,3586.46102208
2014-09-30 19:00:00,3603.75391032
2014-09-30 20:00:00,7209.37253632
2014-09-30 21:00:00,3600.0
2014-09-30 22:00:00,3600.48025815
2014-09-30 23:00:00,7160.73411332
2014-10-01 00:00:00,4841.1766441
2014-10-01 01:00:00,3601.86085519
2014-10-01 02:00:00,4795.8170436
2014-10-01 03:00:00,3598.62082886
2014-10-01 04:00:00,2402.08167869
2014-10-01 05:00:00,3600.0
2014-10-01 06:00:00,3596.25390219
2014-10-01 07:00:00,3590.63432288
2014-10-01 08:00:00,3599.0700645
2014-10-01 09:00:00,3600.0
2014-10-01 10:00:00,3573.46681623
2014-10-01 11:00:00,3609.38429268
2014-10-01 12:00:00,3601.89064084
2014-10-01 13:00:00,3629.76433339
2014-10-01 14:00:00,3588.78504673
2014-10-01 15:00:00,3579.00333698
2014-10-01 16:00:00,3633.58014056
2014-10-01 17:00:00,3604.6858092
2014-10-01 18:00:00,4779.23693224
2014-10-01 19:00:00,4832.29592307
2014-10-01 20:00:00,4805.41952356
2014-10-01 21:00:00,4807.50479811
2014-10-01 22:00:00,4802.50781997
2014-10-01 23:00:00,3566.56346749
2014-10-02 00:00:00,4792.5181906
2014-10-02 01:00:00,3600.0
