,chw,elec,steam
2016-11-30,-60.7734861043,-155.693629416,-363.419249032
2016-12-31,62.3681894973,-280.54287908,-2580.55265039
2017-01-31,50.5758283657,-694.482633247,-3068.81112481
2017-02-28,103.515931715,395.852413508,3367.43862088
2017-03-31,639.594806335,583.351610305,3498.54749913
2017-04-30,-585.972140904,-149.324560838,637.458068979
2017-05-31,-329.587208048,-95.8489012175,459.769118316
2017-06-30,-169.57525598,35.1095271712,20.050219702
2017-07-31,1821.83200707,350.878853621,-65.7085142724
2017-08-31,2500.43103089,447.186904093,14.230325496
2017-09-30,1849.26784417,251.064980279,-30.3622236832
2017-10-31,1613.32018227,261.852264475,-18.7928654394
2017-11-30,0.0861729905833,0.415588959886,1.38522079772
