,chw,elec,steam
2016-11-30,-72.8828231895,-50.5914771383,-506.296370717
2016-12-31,70.7149215256,-200.724462492,-2712.27198882
2017-01-31,61.6843323844,-605.310893705,-3206.38519066
2017-02-28,110.963015675,475.190626678,3276.1118156
2017-03-31,647.996074609,659.569479521,3414.8149664
2017-04-30,-608.366817791,-183.024338755,646.729765916
2017-05-31,-318.127945658,-112.262902148,437.292748283
2017-06-30,-155.026755741,36.1275445172,17.3924119731
2017-07-31,1877.42826931,324.536311031,-88.8580510812
2017-08-31,2540.45311759,433.430846445,15.6633210059
2017-09-30,1858.02751943,217.328078005,-45.9790860487
2017-10-31,1593.79773025,257.191640378,-18.5749577215
2017-11-30,0.0295829905833,0.633499445316,1.20616370809
